# Foster et al. Green Bank/Effelsberg radio telescope neutron star analysis
# Model A
# m_a [eV]  g_ap [GeV^-1]
4.229220220791219583e-06 1.000000000000000000e+02
4.229220220791219583e-06 2.779144443350636012e-09
4.312462671979707541e-06 2.641995917108950611e-09
4.397773197113553795e-06 2.100789800132775805e-09
4.505941702305772330e-06 2.080142743362274143e-09
4.594173679975136425e-06 1.587875243376067973e-09
4.651877134308066461e-06 1.535788316888156761e-09
4.699717309215875748e-06 1.571504867233516758e-09
4.774624795683125552e-06 1.296088454135806842e-09
4.852883461740707215e-06 1.652597873509737559e-09
4.958242127477748870e-06 1.346806924052444008e-09
5.009854612044130614e-06 1.435354434734256046e-09
5.009854612044130614e-06 1.000000000000000000e+02
5.170300791087517435e-06 1.000000000000000000e+02
5.170300791087517435e-06 1.452011617067916884e-09
5.345065078065904699e-06 9.445055284882114396e-10
5.469748954074596323e-06 9.278224385130344051e-10
5.490515713863143434e-06 1.091085730096834732e-09
5.603461708890152237e-06 8.042443981515264332e-10
5.728257639017531076e-06 8.013131831815025861e-10
5.773967817213552831e-06 9.215208558635778230e-10
5.879566219052641366e-06 8.794696094905492665e-10
5.946935995137748730e-06 7.002896186295883012e-10
6.039084691412797238e-06 6.873985759769565361e-10
6.176465056892135278e-06 6.043531607583655971e-10
6.284775885033202879e-06 7.874302075203882269e-10
6.347796918906975418e-06 9.573784733335861189e-10
6.347796918906975418e-06 1.000000000000000000e+02
6.494990803106867879e-06 1.000000000000000000e+02
6.494990803106867879e-06 1.133547964139703431e-09
6.593140566548083267e-06 8.186152485654560748e-10
6.658012116330597747e-06 1.399597776741417972e-09
6.684056500552381791e-06 1.899488792680131990e-09
6.705810378300753851e-06 2.926762576555568901e-09
6.774143208953751587e-06 1.105053817436531384e-09
6.800155258062633676e-06 8.858210875232843927e-10
6.836375980336820955e-06 6.255784560363134488e-10
7.022144635328373807e-06 4.532817981898489898e-10
7.175261986766522996e-06 4.077052132044225691e-10
7.382408674256737965e-06 4.976116195887713776e-10
7.506611613333971469e-06 4.410583735930124868e-10
7.667543291148539385e-06 4.266615246084830841e-10
7.842290012358041725e-06 4.110873582979423002e-10
7.938472382138641795e-06 4.405940007172243816e-10
8.108548070919720707e-06 4.347662897920604995e-10
8.290484700552220221e-06 3.879422451064763723e-10
8.479472009215885281e-06 3.860303218490583845e-10
8.672300381069069150e-06 4.238700554989254040e-10
8.869789859552437358e-06 4.396745302296524894e-10
9.071700463361484428e-06 4.631251847793759254e-10
9.278074397452291380e-06 5.007733371998014190e-10
9.479359826116599160e-06 5.485813043315264000e-10
9.684548601765534609e-06 6.559009950839308799e-10
9.905656893559811797e-06 6.127068083552035711e-10
1.000778704412323073e-05 8.004516113546112350e-10
1.000778704412323073e-05 1.000000000000000000e+02
1.227243907260902757e-05 1.000000000000000000e+02
1.227243907260902757e-05 2.453088787243952942e-10
1.255384576105788143e-05 2.452041671609170009e-10
1.269772323852472358e-05 2.196287987800381542e-10
1.284402202782178940e-05 1.762401590395780574e-10
1.299044395727762719e-05 1.762025404412259604e-10
1.323793389340454288e-05 1.827144654407874044e-10
1.338965158786306022e-05 1.636569191671264584e-10
1.349013893154687465e-05 1.894670519375878500e-10
1.364502061812086721e-05 1.635987021495708981e-10
1.374687334187988026e-05 2.038026125574639422e-10
1.380085057333296657e-05 1.576782750799842661e-10
1.406349821929255216e-05 1.696086157261845270e-10
1.406462588257119122e-05 1.464828484184665720e-10
1.427881347304533452e-05 1.464411607318090770e-10
1.449568173975806644e-05 1.575324819065646983e-10
1.460417692980693561e-05 1.891841399303628422e-10
1.471731880496542668e-05 1.410914353173315137e-10
1.488420123536725069e-05 1.574540337339968342e-10
1.499620554960260063e-05 1.757267326356175485e-10
1.499770862866811667e-05 1.463057576679988122e-10
1.510996131723960310e-05 1.757017257412154331e-10
1.528374671438378611e-05 1.462537129093293502e-10
1.545705197678533767e-05 1.632149888783431631e-10
1.557524015254732933e-05 1.462016866643325578e-10
1.575185071356012865e-05 1.631569290668715423e-10
1.586974789614670268e-05 1.959386592887095621e-10
1.605291543931494365e-05 1.515725086211251140e-10
1.611336320575824780e-05 1.572189235326514327e-10
1.629672897141144406e-05 1.630524734478116676e-10
1.642397106334585156e-05 1.089425328073001297e-10
1.867584804788416126e-05 1.047686787328183976e-10
1.888988874567721249e-05 9.384106039584483977e-11
1.917909710089695110e-05 8.102297014708716640e-11
1.947078173106708067e-05 8.402331830741093456e-11
1.969353826443100201e-05 7.806862889504588778e-11
1.984213079989062016e-05 8.399342903036832799e-11
1.999344752216650052e-05 7.804641127315873632e-11
2.006873348818210970e-05 8.095381463022378431e-11
2.022177828978561078e-05 7.522201181329443824e-11
2.045066687555218833e-05 8.707898681807239196e-11
2.060745045444689003e-05 7.519525338960823604e-11
2.068463383800392034e-05 8.090774374781011655e-11
2.084237551531716295e-05 7.517920290457315308e-11
2.100047820457954424e-05 7.516850448458817441e-11
2.106561689357928216e-05 2.612911130034728656e-10
2.138642128339802347e-05 2.612167519286925233e-10
2.138813612572009395e-05 2.256004137131084262e-10
2.155124273391522706e-05 2.096271443529468360e-10
2.180085968553236456e-05 1.507013899909745499e-10
2.213419195968447794e-05 1.349732776428597483e-10
2.230388216355403135e-05 1.165533750913416169e-10
2.247397228023822688e-05 1.083010034554567678e-10
2.264354386651844749e-05 1.165202050606378294e-10
2.298929984293833666e-05 1.082547745237643571e-10
2.316136684194735316e-05 1.300054830836780387e-10
