#  W. Yin, Y. Fujita, Y. Ezoe, Y. Ishisaki, 2025
# https://arxiv.org/abs/2503.04726
# mass [eV]	photon coupling [GeV^-1]
3600.	1
3600.6666666666665	4.26365193575141e-16
3601.3333333333335	2.6105877050964376e-16
3602.	1.7695762167235833e-16
3602.6666666666665	1.3192738682571274e-16
3603.3333333333335	1.0716544309212277e-16
3604.	9.363291441182137e-17
3604.6666666666665	8.658729675249641e-17
3605.3333333333335	8.325639566634618e-17
3606.	8.18910613922877e-17
3606.6666666666665	8.142019543272881e-17
3607.3333333333335	8.128092602568367e-17
3608.	8.123894216816766e-17
3608.6666666666665	8.121929920207833e-17
3609.3333333333335	8.120367091117154e-17
3610.	8.11886120175812e-17
3610.6666666666665	8.117361954439904e-17
3611.3333333333335	8.115863460344433e-17
3612.	8.11436551940149e-17
3612.6666666666665	8.112868131305024e-17
3613.3333333333335	8.111371295748993e-17
3614.	8.109875012427602e-17
3614.6666666666665	8.108379281035245e-17
3615.3333333333335	8.100366783630395e-17
3616.	8.09627017216246e-17
3616.6666666666665	8.091225276510988e-17
3617.3333333333335	8.084922226472303e-17
3618.	8.07696411430153e-17
3618.6666666666665	8.066847873032394e-17
3619.3333333333335	8.053943283357786e-17
3620.	8.037470999317406e-17
3620.6666666666665	8.016481216217057e-17
3621.3333333333335	7.98987323882925e-17
3622.	7.956271350246511e-17
3622.6666666666665	7.914435495621473e-17
3623.3333333333335	7.864269956597139e-17
3624.	7.811659180471833e-17
3624.6666666666665	7.78296722753553e-17
3625.3333333333335	7.856545937959745e-17
3626.	8.219543377788504e-17
3626.6666666666665	9.297414874403824e-17
3627.3333333333335	1.183739721076932e-16
3628.	1.1369728154490776e-16
3628.6666666666665	8.253165650231773e-17
3629.3333333333335	6.879578524921152e-17
3630.	6.354198479077066e-17
3630.6666666666665	6.238095347536491e-17
3631.3333333333335	6.339646601399357e-17
3632.	6.564105828619733e-17
3632.6666666666665	6.864838467462406e-17
3633.3333333333335	7.213211322779838e-17
3634.	7.568566306872003e-17
3634.6666666666665	7.852433473572339e-17
3635.3333333333335	7.95344813215738e-17
3636.	7.796952018257454e-17
3636.6666666666665	7.418826284144391e-17
3637.3333333333335	6.93099703997595e-17
3638.	6.432970373933992e-17
3638.6666666666665	5.978499250857263e-17
3639.3333333333335	5.583178228360263e-17
3640.	5.247968588677312e-17
3640.6666666666665	4.966604175551462e-17
3641.3333333333335	4.731333639180673e-17
3642.	4.534833468764409e-17
3642.6666666666665	4.370792955589449e-17
3643.3333333333335	4.233995545712239e-17
3644.	4.120180906252829e-17
3644.6666666666665	4.0258888840756533e-17
3645.3333333333335	3.9482487555963067e-17
3646.	3.884584540796558e-17
3646.6666666666665	3.831480381989612e-17
3647.3333333333335	3.7829604459424954e-17
3648.	3.728233898426317e-17
3648.6666666666665	3.6513878481797404e-17
3649.3333333333335	3.5386283313504024e-17
3650.	3.395780460819605e-17
3650.6666666666665	3.255313115910597e-17
3651.3333333333335	3.152441584025775e-17
3652.	3.101150502555822e-17
