# Globular cluster dark photon cooling bounds
# Envelope of R parameter, R2 parameter and tip of the RG branch bounds
# mass [eV]	kinetic mixing [dimensionless]
488.7139393421728	1.0
488.7139393421728	9.825104194915346e-14
500.04026322902376	1.1314616715507623e-14
508.70693904734384	1.063701871555544e-14
532.5595282075702	9.568479084140933e-15
557.5305334261898	8.760496806274378e-15
618.0801214239723	7.0888324672042036e-15
768.3730771377936	5.2517798603308604e-15
876.5689232101448	4.402285060364777e-15
1000	3.755888090680099e-15
1187.4815363065986	3.2044029762451704e-15
1316.4458054677555	2.832091494405889e-15
1410.1123990690799	2.3739902294045778e-15
1476.2306867176123	2.061466326971776e-15
1545.4491725946375	1.8543821309108488e-15
1617.9132208557953	1.6681005372000626e-15
1674.4824380115347	1.3738237958832665e-15
1773.193860398799	1.0543589908346837e-15
1835.192357756444	8.683550174041039e-16
2011.3265529181094	5.786981676954279e-16
2179.2570404067487	3.856620421163488e-16
2204.365381849708	3.5622478902624516e-16
2255.453256104732	3.290344562312671e-16
2334.313619803178	3.1207061265801717e-16
2443.7664687235347	3.012501023016069e-16
2558.351415591293	2.986041129993284e-16
2678.3090976269677	3.012501023016069e-16
2803.891435209056	3.1483593124105643e-16
2868.8737898795453	3.348915692940429e-16
2885.3533438541654	3.5622478902624516e-16
2901.927560654375	3.822746320210867e-16
2935.362160926235	4.21231725225263e-16
2986.2377286131905	4.850916005351269e-16
3055.446099798457	5.994842503189421e-16
3126.258428564266	7.215020142863035e-16
3162.2776601683827	7.811245842304731e-16
3217.086117293846	8.30883682163997e-16
3291.644578600288	8.683550174041039e-16
3367.930989967652	9.15557919836425e-16
3485.688368472943	9.825104194915346e-16
3607.5630523012182	1.035918694379656e-15
3798.411306809178	1.1314616715507622e-15
3953.8020784318833	1.1721022975334842e-15
4139.1905788802915	1.1516027200366104e-15
4358.163133372778	1.035918694379656e-15
4588.719831843954	9.236708571873883e-16
4776.441660217941	8.382463045751949e-16
4915.212387674564	7.674630429274326e-16
5145.680133874395	7.215020142863035e-16
5386.954204979262	6.843039425453433e-16
5704.517351559665	6.376725190323309e-16
6040.800975097672	5.942187619386585e-16
6470.610730737344	5.537261313624362e-16
6852.055871304991	5.298316906283723e-16
7173.339622431383	5.20565156619189e-16
7552.825531918276	5.069683449892611e-16
7952.387105332865	4.981016813043258e-16
8373.086390756662	4.981016813043258e-16
8917.615771792867	4.937266729305221e-16
9443.312857145445	4.8083086443633345e-16
9886.097188561871	4.766075519335856e-16
10290.53160768701	5.069683449892611e-16
10650.33293056349	5.685769795014151e-16
11086.031784226932	6.547747961440297e-16
11408.116047940981	7.151647994711414e-16
11739.557877549785	7.950293134140207e-16
12011.631219653631	8.531678524172849e-16
12360.607072572575	9.236708571873923e-16
12574.840569939079	1.000000000000004e-15
12719.721777050767	1.1414877741680033e-15
12792.787152846156	1.3029943385750276e-15
12940.179434658301	1.5005318244952996e-15
13014.511176328857	1.7280165305902848e-15
13164.458054677569	2.061466326971776e-15
13316.132548149266	2.733893605522637e-15
13546.927170972962	3.96005437697746e-15
13781.721916034177	5.440416936083295e-15
14182.124498530216	1.0268198434168907e-14
14510.806213011725	1.7433288221999945e-14
15018.16651960131	3.120706126580172e-14
15366.224155151109	4.7660755193358554e-14
15722.348295856911	7.950293134140207e-14
15812.661535938578	1.0000000000000041e-13
15812.661535938578	1.0000000000000041e-13
3e4	1e-8
