# FLASH projection
# unpolarised DP
# mass [eV]  kinetic mixing
4.841614255765724651e-07 1
4.841614255765724651e-07 4.851483906559278697e-17
4.841680517389603290e-07 4.852909451676396185e-17
4.841887021509476766e-07 4.853957408661035511e-17
4.842316820489848707e-07 4.854362386749045017e-17
4.842850292865883809e-07 4.855865730649081938e-17
4.843576115105764723e-07 4.858982286960393285e-17
4.844420055168765338e-07 4.863329072748832198e-17
4.845394316963440624e-07 4.861246054194555935e-17
4.846630298459091756e-07 4.862652438509468737e-17
4.847982739764157299e-07 4.865795754419586076e-17
4.849475153946070241e-07 4.868361662298521853e-17
4.851101822989398500e-07 4.872173417467371132e-17
4.852962007517358289e-07 4.874490289224397947e-17
4.854952118848024029e-07 4.878632327610015213e-17
4.857184657147137233e-07 4.881034882405241648e-17
4.859441396189076002e-07 4.884526097704031947e-17
4.861978914867905482e-07 4.886941249111025925e-17
4.864690532916770597e-07 4.891756191813946559e-17
4.867506727417343013e-07 4.895811466896601998e-17
4.870507282710816228e-07 4.900416261035353382e-17
4.873724849453085821e-07 4.905063435570014813e-17
4.877251164530794641e-07 4.911759260541802759e-17
4.880649604306859561e-07 4.914925267524786614e-17
4.884410184729980061e-07 4.921053654574440155e-17
4.888261457826700461e-07 4.926209490924652340e-17
4.892427850114870339e-07 4.933576233849680542e-17
4.896721038108771031e-07 4.936515605872809953e-17
4.901253609166386858e-07 4.943902726994952150e-17
4.905893489979762483e-07 4.950207107364024692e-17
4.910820194099599685e-07 4.955271615685773533e-17
4.915851455631768418e-07 4.963255505524735047e-17
4.921207296983954332e-07 4.969328609028286372e-17
4.926773135723334215e-07 4.974598304862902926e-17
4.932518603401519909e-07 4.983848562618251611e-17
4.938490232373429675e-07 4.991062238239209169e-17
4.944623557680746682e-07 4.998238672570387897e-17
4.951017180434407379e-07 5.005465082453410329e-17
4.957661534319185305e-07 5.013541270927062316e-17
4.964518349681277528e-07 5.022146977062713590e-17
4.971620590052824060e-07 5.029238602584654963e-17
4.978984653565921576e-07 5.039775735915243522e-17
4.986572705867667115e-07 5.050987384762456738e-17
4.994455929600070651e-07 5.056959492828715755e-17
5.002545797516287511e-07 5.072079200236481685e-17
5.010927702973452899e-07 5.079153580504823504e-17
5.019566920564218644e-07 5.089258201533043877e-17
5.028543978390324514e-07 5.102780673025443399e-17
5.037688216697826493e-07 5.107806865431941096e-17
5.047159124621698987e-07 5.120780152554740023e-17
5.056911032988532364e-07 5.131093290542245946e-17
5.067004297343775905e-07 5.143453384786983885e-17
5.077361565642044089e-07 5.154868229242747131e-17
5.088073389945641099e-07 5.166512336079471529e-17
5.099064656670129616e-07 5.178996940908846577e-17
5.110382987553770693e-07 5.190082079610644155e-17
5.121983003020552524e-07 5.203166783656124973e-17
5.134019539911430254e-07 5.216292198315622965e-17
5.146278757405690758e-07 5.232143803068685819e-17
5.158927315631131178e-07 5.244950445296014389e-17
5.171944318689986496e-07 5.260056239421124214e-17
5.185303018523634365e-07 5.273076243961897207e-17
5.199080929911599596e-07 5.288509435975127877e-17
5.213231237919296541e-07 5.305967528675063357e-17
5.227752998194716271e-07 5.317271543827706214e-17
5.242658230159364062e-07 5.338620215898828335e-17
5.257959756436296522e-07 5.348538341288233856e-17
5.273650780282326432e-07 5.363357279830034931e-17
5.289802525931874203e-07 5.382593248106874635e-17
5.306346770424752674e-07 5.396289576496213815e-17
5.323339518748922728e-07 5.413941420199966415e-17
5.340775935307479122e-07 5.432199004481905816e-17
5.358701259191603143e-07 5.449120465945315144e-17
5.377023506051022375e-07 5.464544333489117835e-17
5.395838536466529758e-07 5.485980179676073642e-17
5.415152142462326340e-07 5.501542087366075033e-17
5.434955499776072221e-07 5.519676352273925511e-17
5.455249168174773961e-07 5.538150872904333603e-17
5.476041266747366966e-07 5.557286828513302978e-17
5.497371419773245641e-07 5.577940201435184789e-17
5.519273144502027136e-07 5.599843600413272235e-17
5.541711125481967082e-07 5.618213127641459439e-17
5.564624643949910369e-07 5.634882197464483822e-17
5.588146731696113826e-07 5.656836710987782324e-17
5.612199157033396855e-07 5.676124018330930502e-17
5.636931641024903280e-07 5.700848130544014923e-17
5.662198406444266359e-07 5.716098406832943188e-17
5.688022310367039536e-07 5.737037685183818305e-17
5.714494993763805005e-07 5.758159606251878666e-17
5.741704352095428771e-07 5.776103267532168591e-17
5.769381043387774788e-07 5.798899444096985173e-17
5.797696658580282938e-07 5.818781212741798871e-17
5.826704119245914903e-07 5.841021571266211352e-17
5.856537323528784174e-07 5.862699782590933012e-17
5.886857878829139805e-07 5.883030017900726316e-17
5.918000800229017238e-07 5.902904228573494503e-17
5.949789182734815183e-07 5.925298200537589913e-17
5.982216888364468896e-07 5.951551409215692782e-17
6.015449774304074839e-07 5.971469779739356532e-17
6.049457071939070359e-07 5.985287634670648411e-17
6.084048156475525239e-07 6.017228488617870615e-17
6.119370242130281145e-07 6.031169939564343238e-17
6.155456918839380826e-07 6.056839929328249873e-17
6.192408106681416584e-07 6.076237945196227159e-17
6.230103096896885577e-07 6.092977184686940768e-17
6.268450938495736944e-07 6.111037120176325425e-17
6.307611447844965433e-07 6.124453201169619185e-17
6.347739647043376927e-07 6.141641201811692062e-17
6.388382534249591666e-07 6.160870903140022127e-17
6.429859753744424286e-07 6.179545595557288278e-17
6.472292144964053663e-07 6.197136171794633618e-17
6.515285742784390265e-07 6.209170651847389729e-17
6.559134404325116324e-07 6.222724113999416637e-17
6.603554048748178208e-07 6.235230257096159772e-17
6.649049144457970561e-07 6.249828372793607155e-17
6.695034344767349936e-07 6.260324982270450076e-17
6.741580735248166320e-07 6.276882269036996949e-17
6.789165676064564606e-07 6.281854214165614413e-17
6.837261075159818278e-07 6.283044780168479893e-17
6.885972536492351366e-07 6.293950232722432205e-17
6.935457287520616822e-07 6.291518746686853078e-17
6.985423432785774195e-07 6.292328619067652084e-17
7.035995826011750629e-07 6.292023834952024273e-17
7.087056443433042790e-07 6.287010390550997950e-17
7.138446582235958936e-07 6.277160656550764466e-17
7.190424708881645744e-07 6.269545944809837067e-17
7.242449232594595289e-07 6.256575077636654416e-17
7.294952692086637656e-07 6.242077116474634336e-17
7.347589390987768123e-07 6.224247594108155135e-17
7.400359377058087651e-07 6.204117139953880723e-17
7.453178019650631471e-07 6.171493516392956814e-17
7.505493221029867488e-07 6.150159688757536420e-17
7.558140432317306827e-07 6.117288908057369181e-17
7.610019313852874566e-07 6.089418832662979025e-17
7.661788867995417468e-07 6.037069373001114588e-17
7.712702830336889533e-07 5.989667284023433248e-17
7.763070827483928345e-07 5.943627106768113375e-17
7.812679244676086088e-07 5.894021864579652788e-17
7.861083750065771821e-07 5.839346619837805448e-17
7.908522137345647579e-07 5.790283628664922906e-17
7.954574018355252628e-07 5.730179504915081588e-17
7.999359440886548150e-07 5.667980822894595919e-17
8.042628525109226497e-07 5.614454173623880653e-17
8.084253212600851864e-07 5.553754089780287765e-17
8.124043944656071288e-07 5.495530287782300017e-17
8.162356931318790087e-07 5.440107026380226517e-17
8.198083719876133648e-07 5.389521535842530939e-17
8.232241229654832582e-07 5.327363384963581309e-17
8.264084335386273312e-07 5.274063364913363588e-17
8.294038095421676862e-07 5.224892913596618499e-17
8.321771709616783627e-07 5.179592413774879986e-17
8.347507752074790124e-07 5.136504023211506397e-17
8.371058364092318907e-07 5.093472778750065456e-17
8.392640687859940048e-07 5.056800767153984638e-17
8.412208257046517245e-07 5.018038633202994862e-17
8.429837580899565621e-07 4.985465863370914359e-17
8.445749769285657940e-07 4.954799168833429383e-17
8.459907751433371646e-07 4.927416486635786556e-17
8.472526954723328372e-07 4.903127055826088629e-17
8.483424578862665115e-07 4.878227650665811195e-17
8.493014111218444170e-07 4.853927787945943462e-17
8.501384007264281419e-07 4.834717834047482523e-17
8.508415921816489341e-07 4.818623602688507100e-17
8.514452542867627464e-07 4.796250473481904438e-17
8.519594203956400112e-07 4.783114563712528738e-17
8.523577403876303327e-07 4.764814317385698762e-17
8.526971475009775633e-07 4.749825632846955458e-17
