# DAMNED
# (DArk Matter from Non Equal Delays: a three-arm Mach-Zender interferometer with a 1542 nm laser source is stabilized on an ultrastable cavity
# https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.126.051301
# mass [eV] 	d_me
3.8837858811656355e-11	1e30
3.8837858811656355e-11	11046.490116953626
4.026829600301934e-11	7486.358678430116
4.0287215534895495e-11	14058.144269157154
4.030614395586609e-11	28660.238488686784
4.1497241717881835e-11	30274.438188761764
4.1555760011136777e-11	12772.752115692354
4.2075370389766174e-11	8353.398807671958
4.341134061643379e-11	6527.996293777596
4.4778256041440186e-11	5483.583016181169
4.6188212242257626e-11	5204.149687189043
4.7642564466144273e-11	4698.964277647969
4.914271063373305e-11	4663.985531105644
5.0690092682709586e-11	4629.267163795282
5.228619795380041e-11	4393.368203105495
5.3997743410683384e-11	4527.460387307299
5.563076316322273e-11	4617.751901321582
5.738243789136739e-11	4306.697866487238
5.918926851130219e-11	4675.61608612719
6.111920811822047e-11	4963.618974455072
6.29753990004415e-11	5552.2967686359925
6.503684661516073e-11	7355.6629760487085
6.685550445575579e-11	11811.084593784433
6.743674384509461e-11	18273.016796149277
6.950416915438045e-11	16694.054336551133
7.143720203255747e-11	8775.661829473753
7.365543760195323e-11	5200.262717931897
7.615586604490552e-11	3818.705603921956
7.845899994769158e-11	3084.6319324401593
8.09821321183886e-11	2571.83394769217
8.347774775993414e-11	2380.7389925073567
8.610625495269904e-11	2004.8318730218455
8.887118345648538e-11	1858.5100079459016
9.172489563383004e-11	1742.2853043449618
9.451367126411132e-11	1451.1218062017167
9.747440900945265e-11	1992.5182067005198
1.0079397817041438e-10	3196.893761629436
1.0341762686966777e-10	2976.4576314598226
1.0528915630894936e-10	1752.5437818719652
1.0772252835153727e-10	1058.2858904920706
1.1025018359054743e-10	541.051243549442
1.1195445170533456e-10	263.63134519557593
1.1398909276270481e-10	111.5600158237357
1.1413911377431044e-10	20.039708429064778
1.1430006968017748e-10	41.50349179975754
1.1433580874810611e-10	0.08280046712286461
1.1608563568041627e-10	101.45224457107297
1.1688814834049027e-10	229.9427017083349
1.1931214287834495e-10	412.3162213426517
1.220807664888526e-10	708.3319610270211
1.2592478697844431e-10	881.9054140457157
1.2828720239998213e-10	1786.1011680661304
1.3162361709552625e-10	3239.8678828778557
1.340065047298028e-10	5880.553647939272
1.3813583513763492e-10	7546.925894182621
1.4208438022688898e-10	7319.343972429169
1.4636517092657786e-10	4425.267592196124
1.510143761814969e-10	4354.634781210016
1.5562317488698454e-10	3973.8684265818247
1.6045551507017478e-10	5485.6320027736465
1.6567120297020977e-10	9320.856057974475
1.7037939138316087e-10	11269.196657852885
1.7660792150282726e-10	11717.644488779637
1.8162041305250378e-10	9579.74496980211
1.8735898995204137e-10	8127.651427736734
1.93340177804927e-10	9748.223889896457
1.9942798038283273e-10	14305.384772162637
2.0519655747185877e-10	14730.749140574651
2.1218469077824406e-10	17899.793192656096
2.174057511417322e-10	17805.308705429365
2.2006167774956845e-10	11775.69774315333
2.2668187600762403e-10	17383.55635240449
2.333997986150886e-10	20210.56406019824
2.352848539596891e-10	15496.460588778913
2.410035577170372e-10	30016.35284103594
2.480189589663016e-10	30405.6818708238
2.5464427329616787e-10	22092.629531799063
2.621282890046383e-10	27962.20840748641
2.7003936069933015e-10	30482.503275675786
2.771606470471451e-10	45128.31120884442
2.839813599368928e-10	36263.01252892678
2.8937154360626566e-10	45765.6673327036
2.967357025273253e-10	42808.849963903805
3.0595596404235766e-10	69319.17316894376
3.1453266917806247e-10	87165.48282803202
3.195417189883973e-10	181913.0481813845
3.254744753692892e-10	315905.66700194124
3.262283933931112e-10	9629562.524598991
3.2961535941247166e-10	137143.07244516272
3.3235462019419916e-10	72305.73447317169
3.3480945589884217e-10	38387.81212031052
3.378109388752989e-10	19530.15776752919
3.4178977636812173e-10	21.274964910401366
3.4260500126877313e-10	5227.243273548636
3.4342300890928286e-10	9288.175180112314
3.531557224287098e-10	21650.37608751432
3.647649339323979e-10	33039.757042464495
3.763098881869711e-10	36263.01252892678
3.7721111883987796e-10	26295.753855367024
3.878373300604196e-10	53329.94260876812
3.993379043979642e-10	62256.57233211915
4.09900663096798e-10	44555.62882597113
4.2094179527660695e-10	72127.12206021583
4.2436146797839747e-10	164882.56855735325
4.274423391506866e-10	425840.7435997977
4.34695881603482e-10	81565.97513567783
4.4441019116494176e-10	53543.43911617039
4.554256552056456e-10	96552.66964841077
4.651547674388813e-10	148648.34927323827
4.731927648425385e-10	73697.4970758206
4.869697841404669e-10	96050.13349319421
4.982212266105063e-10	205661.55944122368
5.068190309682799e-10	105845.56173864088
5.203935694817385e-10	106294.83648008383
5.30539081287892e-10	404980.3424584027
5.315992744840067e-10	242432.91196767398
5.467440884334596e-10	158023.68337662797
5.603019596210231e-10	347379.6105600683
5.607644757534289e-10	16963216.17735575
5.610393728660074e-10	724113.837434659
5.679332972151054e-10	121870.48234720573
5.690013937753094e-10	340026.24406977446
5.706495575884313e-10	2474.2445535888396
5.734923647999381e-10	39132.9814418424
5.781616998972088e-10	68164.56648445089
5.906792340787701e-10	92919.50371128296
6.003013103446671e-10	886181.3896300714
6.003013103446671e-10	583547.0717422828
6.011478390937077e-10	256135.92548924655
6.147691616105272e-10	99825.24031899904
6.3362054707938e-10	165738.0298200789
6.337287848354229e-10	18997153.179905515
6.343948536720332e-10	332329.5713708918
6.347850724121557e-10	790746.2721472665
6.35110438041805e-10	1937379.5110329858
6.525491537072307e-10	128538.67372628007
6.686749150987445e-10	577762.4270223185
6.690479011802485e-10	251612.847846855
6.694177322745787e-10	1279841.2049662033
6.891998767446368e-10	107174.27591474022
6.898071481853393e-10	213215.61980986275
7.033891061928047e-10	679161.908116318
7.104718633311712e-10	254028.337997713
7.189607147339915e-10	85744.37762359047
7.211461878425648e-10	162719.3600706349
7.384704829043036e-10	739934.3041059512
7.395118541012739e-10	321141.40606648684
7.583452448003428e-10	219022.30893799517
7.702038441346795e-10	398429.7081931995
7.82078311415493e-10	666602.4268986257
7.907344485009754e-10	16963216.17735575
7.912634237498202e-10	1312988.8102262064
7.934966340090244e-10	687804.1184306262
7.93668680252667e-10	323450.72386901116
7.953537318707825e-10	2474.2445535888396
8.029451519302904e-10	125312.66864283434
8.179053836663542e-10	184651.88652917914
8.18866427574969e-10	351528.21375463705
8.265955428687484e-10	94373.30498417669
8.265955428687484e-10	1e30
