# DAMNED
# (DArk Matter from Non Equal Delays: a three-arm Mach-Zender interferometer with a 1542 nm laser source is stabilized on an ultrastable cavity
# https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.126.051301
# mass [eV] 	d_e
4.216973314002268e-11	1e30
4.216973314002268e-11	8209.026701929412
4.3501341537643795e-11	5968.1607374185205
4.4874998598905426e-11	5256.25442021062
4.62920321091513e-11	4817.465798775153
4.7753811781666705e-11	4698.964277647969
4.9261750581652464e-11	4781.604935573166
5.0817306092004696e-11	4504.1630047208755
5.242198192222409e-11	4360.6642913999785
5.404458819139043e-11	4579.936271925223
5.57849478795724e-11	4526.655026849692
5.7546488670229986e-11	4306.697866487238
5.936365424992295e-11	4781.604935573166
6.122377979461573e-11	5101.484628321078
6.317194117510023e-11	5908.99894710308
6.509311357550876e-11	7995.1420057831965
6.646883592608582e-11	8127.651427736734
6.679525758910137e-11	15888.139685116337
6.895642583805038e-11	16945.395934387027
7.102571485436157e-11	9203.740157961825
7.296649179000726e-11	5243.179532299508
7.546939538877073e-11	3950.4558891382203
7.764742560668382e-11	3194.0848247739855
8.024498959351853e-11	2517.0647119326013
8.262864988352311e-11	2440.77800862861
8.523784363164686e-11	2060.516537474949
8.808933228311294e-11	1862.1504729900612
9.092601081087752e-11	1797.699737435643
9.353500830012746e-11	1525.4041899601789
9.6669498165136e-11	1961.8294218937158
9.973139077903857e-11	3073.129599530317
1.0251643064268717e-10	2955.6220520885327
1.0503643807886502e-10	1723.9711289292457
1.0730807386360134e-10	1034.6763742429023
1.0983315954509245e-10	524.989283841897
1.1164842647877169e-10	238.70761041280474
1.1339750665234025e-10	0.13766020094280612
1.1640863217289009e-10	200.73988364452254
1.1830825474515797e-10	376.95632363694017
1.210870110428716e-10	682.3900664107009
1.248820423946704e-10	822.7730124929847
1.2746779655986341e-10	1701.5922071398113
1.3089392621521583e-10	3102.411951257602
1.3319583702767882e-10	5760.956641690029
1.372206097013788e-10	7486.358678430116
1.411659019232331e-10	7362.063199481794
1.454766309624985e-10	5212.488693098512
1.4717515113358316e-10	3524.289753245389
1.518414840345949e-10	4488.7481609674105
1.5652820268851723e-10	4125.588886298594
1.6134676447393273e-10	6518.068061579659
1.666134932901643e-10	11291.270855104056
1.7180532473515758e-10	12997.386434233049
1.7650339189368814e-10	13143.876049574817
1.7850657482281272e-10	9068.963519106514
1.8344158553985154e-10	9530.661501871704
1.8796822150000144e-10	7550.727574043624
1.934589997824983e-10	10374.489531414967
1.9956792221391063e-10	14593.274137076063
2.057778984928371e-10	15551.177261822888
2.1237056919471154e-10	18673.94423812369
2.1849953729785658e-10	14448.612446062882
2.2355930687350526e-10	12772.752115692354
2.2842041034198636e-10	19147.525030655
2.348170816244948e-10	18312.393323049342
2.4254025516716273e-10	27678.127439777498
2.503169165726313e-10	23497.315011429095
2.580996558518591e-10	25430.834762354498
2.662497588656547e-10	24225.260040626752
2.7465722052999156e-10	43119.165274338266
2.833301675489021e-10	38547.49049571215
2.9235566578534113e-10	43170.33474448542
3.0112309636061044e-10	52652.4577168377
3.0973434016848927e-10	75526.34157661255
3.1456323030786785e-10	68868.47748279147
3.182519916200075e-10	152951.58899405383
3.258748977532829e-10	1745829.1737649594
