
# MICROSCOPE EP violation limit
# http://dx.doi.org/10.1103/PhysRevLett.129.121102
# mass [eV] 	g_B-L
1e-22	 4.300712118415477e-25
7.615626556287524e-15	 4.2396420654639155e-25
2.235532653868659e-14	 4.553916814371484e-25
3.482998059215392e-14	 5.105926209998113e-25
5.093486162829323e-14	 5.643555430858931e-25
6.991441249150373e-14	 6.418793677285527e-25
1.0553190283100972e-13	 7.95465077506187e-25
1.592945162270661e-13	 1.0290165512646853e-24
2.118347716565359e-13	 1.3122374331203195e-24
3.5162502813053207e-13	 2.1959118727073916e-24
4.981802657125467e-13	 3.2773886873422077e-24
5.654668536574828e-13	 3.8910078931805554e-24
6.838141791045198e-13	 5.1794746792312654e-24
8.269305769558408e-13	 7.512360102430482e-24
9.386197401368066e-13	 1.0000000000000082e-23
1.0996778426166953e-12	 1.4924955450518442e-23
1.3298309111569102e-12	 2.2275429519995656e-23
1.5335383302381943e-12	 3.8357556345943906e-23
1.7966787298981684e-12	 6.418793677285527e-23
2.071899274040415e-12	 1.074127660791859e-22
2.278421723795823e-12	 1.603130748548782e-22
2.389278912436702e-12	 2.259629662134518e-22
